iHarzClassID,sClassName,sClassDescription,msrepl_tran_version
1,NONE,NONE,F4967785-50E9-4B58-AB02-7BF3DD4576F8
2,Class 2,Class 2.1 - Flammable Gases,57FCE1F6-5925-4386-AE12-A3B496874499
3,Class 3,Class 3 - Flammable Liquds,45EBF95C-2FEB-4AB7-A84C-39783D220167
4,Class 4,Class 4.1 - Flammable Solids,1A7A0EFD-7B8C-4E1B-86BC-90FCF5E99467
5,Class 5,Class 5.1 Oxidizers,7F4AD6C9-BE0B-4A01-9744-D9554C6C6157
6,Class 8,Class 8 - Corrosives,B61AD062-A83B-4B60-BC59-42E6F6ADD712
7,Class 9,Class 9 - Misc Cons. Commodity,40643520-1289-47F6-976A-4CA28B9121E7
8,Magnetised Electronics, ,F04C4C52-8002-4579-8CA3-AB6F55E39E54
9,Class 7,Class 7 - Radioactive Material,B5010C52-7847-4B4F-B917-A78105B5AF68
10,Class 1,Class 1.4 - Explosives,FEECFECD-3DF2-44E5-8A22-F2AB5E6B132A
11,Class 6,Class 6 - Poisons (Toxic) Inhalation,133A8F12-0813-4957-B08B-72460CA0029A
12,Class 6.1,Class 6.1 - Toxic Poisonous Material,45F064AE-C061-4345-A629-988F8164FFBF
13,Class 5.2,Class 5.2 - Organic Peroxide,0DB4F220-AF4B-4B36-998B-5D62DDCB9326
14,Class 2.2,Class 2.2 - Non-Flammable Gases,558BAA7F-3314-406E-A003-4E50C000379D
16,Class 2.3,Class 2.3 - Toxic Gases,DD599E37-1531-4414-A14E-C91661D82498
17,Class 5.2,Class 5.2 Organic Peroxides,E196071B-10C1-4A6E-BC84-976D0F281F07
18,Class 4.3,Class 4.3 Dangerous When Wet,CFDD006C-00FE-497A-A897-2BC180E44DEC
19,Class 1.3G,Class 1.3G Explosives,4F324B32-5257-456E-B2FC-9E465B3D5BE2
