AWB Id,Employee Name,Status,Date
100017,admin,Created,"Jun 04,2020 09:06"
100018,admin,Created,"Jun 15,2020 05:09"
100019,admin,Created,"Jun 22,2020 11:08"
100020,admin,Created,"Jun 23,2020 08:03"
100021,admin,Created,"Jun 24,2020 11:40"
100022,admin,Created,"Jun 25,2020 03:11"
100023,admin,Created,"Jun 25,2020 03:35"
100024,admin,Created,"Jul 07,2020 08:15"
100025,admin,Created,"Jul 08,2020 03:52"
100026,admin@company.com,Created,"Sep 14,2020 08:58"
100027,admin@company.com,Created,"Sep 23,2020 02:17"
100028,admin@company.com,Created,"Sep 28,2020 03:14"
100029,admin@company.com,Created,"Sep 28,2020 04:01"
100030,admin@company.com,Created,"Sep 29,2020 02:25"
100031,admin@company.com,Created,"Sep 29,2020 02:32"
100032,admin@company.com,Created,"Sep 30,2020 04:34"
100033,admin@company.com,Created,"Sep 30,2020 06:21"
100034,admin@company.com,Created,"Sep 30,2020 10:57"
100035,admin@company.com,Created,"Sep 30,2020 11:04"
100036,admin@company.com,Created,"Sep 30,2020 11:05"
100037,admin@company.com,Created,"Sep 30,2020 11:06"
100038,admin@company.com,Created,"Sep 30,2020 11:47"
100039,admin@company.com,Created,"Oct 01,2020 02:58"
100040,admin@company.com,Created,"Oct 01,2020 03:11"
100041,admin@company.com,Created,"Oct 09,2020 01:54"
100042,admin@company.com,Created,"Oct 20,2020 06:40"
100043,admin@company.com,Created,"Oct 20,2020 06:47"
100044,admin@company.com,Created,"Oct 20,2020 06:48"
100045,admin@company.com,Created,"Oct 20,2020 07:14"
100046,admin@company.com,Created,"Oct 20,2020 07:25"
100047,admin@company.com,Created,"Oct 20,2020 07:35"
100048,admin@company.com,Created,"Oct 20,2020 07:37"
100049,admin@company.com,Created,"Oct 20,2020 07:39"
100050,admin@company.com,Created,"Oct 20,2020 07:40"
100051,admin@company.com,Created,"Oct 20,2020 07:41"
100052,admin@company.com,Created,"Oct 20,2020 07:48"
100053,admin@company.com,Created,"Oct 20,2020 07:55"
100054,admin@company.com,Created,"Oct 22,2020 04:02"
100055,admin@company.com,Created,"Nov 04,2020 05:46"
100056,admin@company.com,Created,"Nov 05,2020 01:14"
100057,admin@company.com,Created,"Nov 05,2020 07:25"
100058,admin@company.com,Created,"Nov 05,2020 07:25"
100059,admin@company.com,Created,"Nov 05,2020 07:28"
100060,admin@company.com,Created,"Nov 05,2020 07:32"
100061,admin@company.com,Created,"Nov 05,2020 07:33"
100062,admin@company.com,Created,"Nov 06,2020 07:46"
100063,admin@company.com,Created,"Nov 09,2020 06:02"
100064,admin@company.com,Created,"Nov 09,2020 06:04"
100065,admin@company.com,Created,"Nov 09,2020 08:01"
100066,admin@company.com,Created,"Nov 17,2020 01:51"
100067,admin@company.com,Created,"Nov 17,2020 03:26"
100068,admin@company.com,Created,"Nov 17,2020 03:34"
100069,admin@company.com,Created,"Nov 17,2020 03:54"
100070,admin@company.com,Created,"Nov 18,2020 01:20"
100071,admin@company.com,Created,"Nov 18,2020 01:29"
100072,admin@company.com,Created,"Nov 18,2020 04:01"
100073,admin@company.com,Created,"Nov 19,2020 05:19"
100074,admin@company.com,Created,"Nov 19,2020 05:21"
100075,admin@company.com,Created,"Nov 19,2020 05:27"
100076,admin@company.com,Created,"Nov 19,2020 05:28"
100077,admin@company.com,Created,"Nov 19,2020 05:30"
100078,admin@company.com,Created,"Nov 19,2020 05:31"
100079,admin@company.com,Created,"Nov 19,2020 05:32"
100080,admin@company.com,Created,"Nov 19,2020 05:38"
100081,admin@company.com,Created,"Nov 19,2020 05:41"
100082,admin@company.com,Created,"Nov 19,2020 05:42"
100083,admin@company.com,Created,"Nov 19,2020 05:49"
100084,admin@company.com,Created,"Nov 19,2020 05:51"
100085,admin@company.com,Created,"Nov 19,2020 05:52"
100086,admin@company.com,Created,"Nov 19,2020 05:53"
100087,admin@company.com,Created,"Nov 19,2020 06:04"
100088,admin@company.com,Created,"Nov 19,2020 06:13"
100089,admin@company.com,Created,"Nov 19,2020 06:15"
100090,admin@company.com,Created,"Nov 19,2020 06:16"
100091,admin@company.com,Created,"Nov 19,2020 06:17"
100092,admin@company.com,Created,"Nov 19,2020 06:18"
100093,admin@company.com,Created,"Nov 19,2020 06:19"
100094,admin@company.com,Created,"Nov 19,2020 06:20"
100095,admin@company.com,Created,"Nov 19,2020 06:21"
100096,admin@company.com,Created,"Nov 19,2020 06:22"
100097,admin@company.com,Created,"Nov 19,2020 06:23"
100098,admin@company.com,Created,"Nov 19,2020 06:37"
100099,admin@company.com,Created,"Nov 19,2020 06:39"
100100,admin@company.com,Created,"Nov 19,2020 07:59"
100101,admin@company.com,Created,"Nov 19,2020 08:43"
100102,admin@company.com,Created,"Nov 19,2020 09:24"
100103,admin@company.com,Created,"Nov 20,2020 06:33"
100104,admin@company.com,Created,"Nov 20,2020 07:23"
100105,admin,Created,"Nov 23,2020 07:15"
100106,admin,Created,"Nov 26,2020 09:27"
100107,admin,Created,"Dec 03,2020 04:47"
100108,admin,Created,"Dec 03,2020 05:25"
100109,admin,Created,"Dec 11,2020 07:33"
100110,admin,Created,"Dec 14,2020 02:50"
100111,admin,Created,"Dec 14,2020 02:53"
100112,admin,Created,"Dec 14,2020 03:11"
100113,admin,Created,"Dec 15,2020 00:58"
100114,admin,Created,"Dec 15,2020 01:16"
100115,admin,Created,"Dec 15,2020 01:41"
100116,admin,Created,"Dec 15,2020 06:42"
100117,admin,Created,"Dec 23,2020 03:28"
100118,admin,Created,"Dec 23,2020 03:36"
100119,admin,Created,"Dec 23,2020 03:36"
-,admin,Created,"Dec 23,2020 03:38"
100121,admin,Created,"Dec 24,2020 03:05"
100122,admin,Created,"Dec 24,2020 10:59"
100123,admin,Created,"Dec 28,2020 01:06"
100124,admin,Created,"Dec 28,2020 01:08"
100125,admin,Created,"Dec 28,2020 01:08"
100126,admin,Created,"Dec 28,2020 02:07"
100127,admin,Created,"Dec 28,2020 07:00"
100128,admin,Created,"Dec 28,2020 07:00"
100131,admin,Created,"Dec 28,2020 07:14"
100136,admin,Created,"Dec 28,2020 08:01"
100137,admin,Created,"Dec 28,2020 08:12"
100138,admin,Created,"Dec 28,2020 08:24"
100139,admin,Created,"Dec 28,2020 08:31"
-,admin,Created,"Dec 29,2020 01:50"
-,admin,Created,"Dec 29,2020 02:33"
100142,admin,Created,"Dec 29,2020 04:58"
-,admin,Created,"Dec 29,2020 04:59"
