Tracking No,PMB,consignee,AWB,Shipper,Store,Original Barcode,Description,status,status Date,Package Type,zone,career,weight,volumetricweight,express,aging,agingdollar,Original Barcode,Status,User,Date
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 07,2021 07:43"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,,Loaded on AirCraft,admin 1,"Nov 26,2020 04:16"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 15,2021 02:30"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 19,2021 04:02"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,No Tracking,Loaded on AirCraft,admin 1,"Nov 26,2020 04:17"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,new user,"Nov 19,2020 08:43"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 08,2021 00:31"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Dec 14,2020 02:50"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Feb 04,2021 01:30"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Mar 01,2021 07:38"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Mar 01,2021 07:54"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Dec 03,2020 04:37"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 18,2021 02:27"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 06,2021 02:05"
,,,,,,,,Received in FLL,,,,,,,,,,9000-100068-47,Received in FLL,new user,"Sep 30,2020 10:57"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 11,2021 03:13"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 08,2021 06:09"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 27,2021 06:44"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,100068,Loaded on AirCraft,admin 1,"May 28,2020 15:30"
,,,,,,,,No Invoice Present,,,,,,,,,,420112359241990105856901520828,No Invoice Present,admin 1,"Sep 29,2020 09:27"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,,Loaded on AirCraft,admin 1,"Nov 26,2020 04:16"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 15,2021 02:36"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,,Loaded on AirCraft,admin 1,"Nov 26,2020 04:16"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 22,2021 05:30"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,,Loaded on AirCraft,admin 1,"Nov 26,2020 04:16"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Dec 28,2020 08:24"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 07,2021 04:28"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 07,2021 06:04"
